#TYPE Selected.Microsoft.ActiveDirectory.Management.ADObject
"objectclass","name","distinguishedname"
"container","f607fd87-80cf-45e2-890b-6cf97ec0e284","CN=f607fd87-80cf-45e2-890b-6cf97ec0e284,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","9cac1f66-2167-47ad-a472-2a13251310e4","CN=9cac1f66-2167-47ad-a472-2a13251310e4,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6ff880d6-11e7-4ed1-a20f-aac45da48650","CN=6ff880d6-11e7-4ed1-a20f-aac45da48650,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","446f24ea-cfd5-4c52-8346-96e170bcb912","CN=446f24ea-cfd5-4c52-8346-96e170bcb912,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","51cba88b-99cf-4e16-bef2-c427b38d0767","CN=51cba88b-99cf-4e16-bef2-c427b38d0767,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","a3dac986-80e7-4e59-a059-54cb1ab43cb9","CN=a3dac986-80e7-4e59-a059-54cb1ab43cb9,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","293f0798-ea5c-4455-9f5d-45f33a30703b","CN=293f0798-ea5c-4455-9f5d-45f33a30703b,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","5c82b233-75fc-41b3-ac71-c69592e6bf15","CN=5c82b233-75fc-41b3-ac71-c69592e6bf15,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","7ffef925-405b-440a-8d58-35e8cd6e98c3","CN=7ffef925-405b-440a-8d58-35e8cd6e98c3,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","4dfbb973-8a62-4310-a90c-776e00f83222","CN=4dfbb973-8a62-4310-a90c-776e00f83222,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","8437C3D8-7689-4200-BF38-79E4AC33DFA0","CN=8437C3D8-7689-4200-BF38-79E4AC33DFA0,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","7cfb016c-4f87-4406-8166-bd9df943947f","CN=7cfb016c-4f87-4406-8166-bd9df943947f,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","f7ed4553-d82b-49ef-a839-2f38a36bb069","CN=f7ed4553-d82b-49ef-a839-2f38a36bb069,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","8ca38317-13a4-4bd4-806f-ebed6acb5d0c","CN=8ca38317-13a4-4bd4-806f-ebed6acb5d0c,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","3c784009-1f57-4e2a-9b04-6915c9e71961","CN=3c784009-1f57-4e2a-9b04-6915c9e71961,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5678-8314-11d6-977b-00c04f613221","CN=6bcd5678-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5679-8314-11d6-977b-00c04f613221","CN=6bcd5679-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd567a-8314-11d6-977b-00c04f613221","CN=6bcd567a-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd567b-8314-11d6-977b-00c04f613221","CN=6bcd567b-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd567c-8314-11d6-977b-00c04f613221","CN=6bcd567c-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd567d-8314-11d6-977b-00c04f613221","CN=6bcd567d-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd567e-8314-11d6-977b-00c04f613221","CN=6bcd567e-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd567f-8314-11d6-977b-00c04f613221","CN=6bcd567f-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5680-8314-11d6-977b-00c04f613221","CN=6bcd5680-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5681-8314-11d6-977b-00c04f613221","CN=6bcd5681-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5682-8314-11d6-977b-00c04f613221","CN=6bcd5682-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5683-8314-11d6-977b-00c04f613221","CN=6bcd5683-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5684-8314-11d6-977b-00c04f613221","CN=6bcd5684-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5685-8314-11d6-977b-00c04f613221","CN=6bcd5685-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5686-8314-11d6-977b-00c04f613221","CN=6bcd5686-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5687-8314-11d6-977b-00c04f613221","CN=6bcd5687-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5688-8314-11d6-977b-00c04f613221","CN=6bcd5688-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd5689-8314-11d6-977b-00c04f613221","CN=6bcd5689-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd568a-8314-11d6-977b-00c04f613221","CN=6bcd568a-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd568b-8314-11d6-977b-00c04f613221","CN=6bcd568b-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd568c-8314-11d6-977b-00c04f613221","CN=6bcd568c-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","6bcd568d-8314-11d6-977b-00c04f613221","CN=6bcd568d-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","3051c66f-b332-4a73-9a20-2d6a7d6e6a1c","CN=3051c66f-b332-4a73-9a20-2d6a7d6e6a1c,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","3e4f4182-ac5d-4378-b760-0eab2de593e2","CN=3e4f4182-ac5d-4378-b760-0eab2de593e2,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
